Periodo ;Fecha1;Muestra;Sample; PM2_5
PGE;8/04/2022;5;AB947;17.77717276
PGE;14/04/2022;6;AB948;8.967831073
NO PGE;1/06/2022;7;AB977;21.65035163
NO PGE;13/06/2022;8;AB978;5.858216133
NO PGE;28/06/2022;9;AB979;15.95499659
NO PGE;7/07/2022;10;AB980;12.34346736
NO PGE;19/07/2022;11;AB981;11.89581197
NO PGE;12/08/2022;13;AB984;14.10313368
NO PGE;18/08/2022;14;AB985;16.61421266
NO PGE;30/08/2022;15;AB986;11.76097653
NO PGE;29/09/2022;16;AB1096;22.74690705
PGE;11/10/2022;17;AB1097;21.74228132
PGE;4/11/2022;19;AB1235;18.95164003
PGE;25/11/2022;20;AB1239;18.14391186
NO PGE;19/12/2022;21;AB1285;8.721964707
NO PGE;3/03/2023;25;AB1292;16.31848798
NO PGE;9/03/2023;26;AB1293;20.82735834
NO PGE;14/03/2023;29;AB1413;24.18891517
NO PGE;15/03/2023;27;AB1409;12.11253913
PGE;16/03/2023;22;AB1286;12.11253913
PGE;16/03/2023;23;AB1288;12.11253913
PGE;28/03/2023;24;AB1290;20.51242904
NO PGE;2/06/2023;28;AB1410;19.86328751
NO PGE;29/06/2023;30;AB1414;18.94359566
NO PGE;8/07/2023;31;AB1416;9.619277169
NO PGE;20/07/2023;15;AB1515;21.67036849
NO PGE;29/07/2023;16;AB1517;12.77589243
NO PGE;7/08/2023;17;AB1519;8.68976537
NO PGE;19/08/2023;18;AB1521;13.05011372
NO PGE;28/08/2023;23;AB1523;15.95225734
