"ARG","Period"
"ANT(6)-Ib","Both"
"Erm(36)","Both"
"Erm(51)","Both"
"FosXCC","Both"
"HelR","Both"
"LnuP","Both"
"aadA9","Both"
"cmx","Both"
"lmrD","Both"
"mel","Both"
"mphO","Both"
"novA","Both"
"oleC","Both"
"optrA","Both"
"rphA","Both"
"smeF","Both"
"spd","Both"
"tet(39)","Both"
"tet(42)","Both"
"vga(E) Staphylococcus cohnii","Both"
"Enterococcus faecium chloramphenicol acetyltransferase","PGE"
"Erm(48)","PGE"
"ErmY","PGE"
"smeE","PGE"
"vanR gene in vanM cluster","PGE"
"vgaE","PGE"
"APH(6)-Ib","NO PGE"
"AST-1","NO PGE"
"BJP-1","NO PGE"
"CfxA6","NO PGE"
"EXO-1","NO PGE"
"Erm(43)","NO PGE"
"ErmQ","NO PGE"
"GPC-1","NO PGE"
"abcA","NO PGE"
"arr-1","NO PGE"
"carA","NO PGE"
"dfrB10","NO PGE"
"erm(56)","NO PGE"
"lfrA","NO PGE"
"mphH","NO PGE"
"otr(C)","NO PGE"
"putative nickel/cobalt transporter","NO PGE"
"rphB","NO PGE"
"salB","NO PGE"
"sta","NO PGE"
"tcr3","NO PGE"
"tet(43)","NO PGE"
"tet(V)","NO PGE"
"vanJ","NO PGE"
"vanS gene in vanO cluster","NO PGE"
"vatE","NO PGE"
"vgaALC","NO PGE"
