"ARO Term","Total_TPM"
"oleC",8006065.90737409
"cmx",6733785.15511898
"novA",2966262.84311016
"HelR",2713569.49031142
"Erm(51)",1818544.63902556
"rphA",1251505.55433158
"mel",777198.161154357
"aadA9",551650.142955638
"optrA",524761.215033124
"Erm(36)",485539.589556614
"Erm(43)",469119.033326167
"LnuP",388370.745829692
"spd",360029.696155699
"mphO",310117.508461156
"FosXCC",276064.179572248
"ANT(6)-Ib",166396.100842376
"vga(E) Staphylococcus cohnii",145933.978718909
"lmrD",139797.010557494
"abcA",134949.805722424
"arr-1",130492.100311764
"carA",119050.294851637
"vatE",115378.968659112
"lfrA",103407.373611258
"smeF",88676.8797286368
"otr(C)",79809.8019050797
"vanS gene in vanO cluster",75460.7975002852
"tcr3",73781.6377189113
"putative nickel/cobalt transporter",72180.1553838227
"smeE",70782.6023345076
"tet(39)",70336.7467812615
